comment_id,comment_text
10476195,"Very nice, thanks. I'll do more extensive research on that. :-)
"
10221912,"Why are you passing in encoded HTML into the model?  If ng-bind-html-unsafe
will just pass through the string to the browser.  So if you give it
`&lt;br&gt;` then this is what the browser will get - and so will print
<br> on the screen. If you want a line break then put ""<br>"" into the
string.

Or, are you saying that you have some encoded HTML that you want to decode
it?  There is no directive to do that.  You could write one.

On 9 November 2012 09:25, grumpyOldRussian notifications@github.com wrote:

> http://plnkr.co/edit/cp1gPI?p=preview
>
> as far as I understand, there is no way to parse html entities into html
> (in the plunk — render
> as a line break). Or is there?
>
> —
> Reply to this email directly or view it on GitHubhttps://github.com/angular/angular.js/issues/1545.
"
10237382,"I have some encoded HTML... going to write a directive myself then. Thank you. This issue can be closed I guess
"
10237600,"Great.  Here is a naive function for doing it: http://pranavrajyaguru.wordpress.com/2010/06/03/decode-html-through-javascript/.
Closing for now.
"
10252199,"Hi Florian
$ is used by AngularJS to indicate a hidden internal member that is not
part of the problem domain.  Can you give a concrete use case where you
have a problem domain field that uses $ in keys?
You can actually get around this now with a little mapping function:
http://plnkr.co/edit/NgdEnK?p=preview.   You could probably be more clever
and not have to create a copy of the whole array if you wanted.
Pete

On 9 November 2012 23:38, Florian Orben notifications@github.com wrote:

> See:
> http://plnkr.co/edit/AL86RM?p=preview
>
> I guess the reason is, that the $$hash keys, angular is adding to some
> objects shouldnt be printed out.
>
> Perhaps it should be changed, so that only keys starting with '$$' get
> ignored, or make it configureable via an attribute, something like:
>
> <p ng-repeat=""d in data"" ignore=""all""> - ignores $ and $$, default behavior - </p><p ng-repeat=""d in data"" ignore=""$""> - ignores $ - </p><p ng-repeat=""d in data"" ignore=""$$""> - ignores only $$ - </p><p ng-repeat=""d in data"" ignore=""none"" [or: ignore=""false""]> - ignores nothing - </p>
>
> Any suggestions?
>
> —
> Reply to this email directly or view it on GitHubhttps://github.com/angular/angular.js/issues/1549.
"
10254488,"Hi Pete,

thanks four your comment and your help.
My case was, that a json response (fetched with $http) sometimes had keys starting with $ in it - not that much of a big deal in my case (since it is only a very specific section of the response where this could happen at all - your snippet will do great here, thanks!).
But I could imagine, there are other scenarios where this could happen more frequently (e.g. mongodb, since it's also using $ internally, or propably other apis i don't know of, could greatly rely on $) - what to do with these cases, I guess constantly ""transforming"" the data back and forth before sending it via $http isn't the best way?

Florian
"
10259813,"In the case of MongoDB, I believe the only $ prefixed field is $oid, which is actually contained in _id so you don't iterate directly over it and in fact [""A user document element name cannot begin with ""$""](http://www.mongodb.org/display/DOCS/BSON#BSON-MongoDBDocumentTypes).
So closing this until a more pressing requirement is put forward.
"
14076178,"@haraldringvold I would sugest opening a new issue if you are having one, otherwise stackexchange would be the best place to ask a more general question like this.
"
15675006,"I'm having the same trouble with a third party API (all the dots being removed from the callback function name). Since my search brought me here I figure adding the following snippet here might be useful for others who find themselves in the same situation.

Add the following immediately before making a jsonp request.

``` javascript
var c = $window.angular.callbacks.counter.toString(36);

$window['angularcallbacks_' + c] = function (data) {
    $window.angular.callbacks['_' + c](data);
    delete $window['angularcallbacks_' + c];
};
```

The main problem is that this relies heavily on angular's current jsonp implementation and is likely to need maintenance in the future.

As a more permanent solution the framework could have a low level service purely for registering globals (heavily and uniquely prefixed so that multiple angular apps don't collide), which would also make cleaning up after an app much simpler.
"
23198815,"As part of our effort to clean out old issues, this issue is being automatically closed since it has been inactivite for over two months.

Please try the newest versions of Angular (`1.0.8` and `1.2.0-rc.1`), and if the issue persists, comment below so we can discuss it.

Thanks!
"
10799697,"me too - using the windows ACS service and it doesnt like the call back name
"
11158494,"@raghur @todiadiyatmo do you guys know what upsets your JSONP endpoints with the callback names generated by AngularJS? Is it a dot? Or underscore? Or sth else altogether?

Getting rid of a dot might be problematic since callbacks would have to be registered in a global (window) scope....
"
11198183,"I had the same problem with the TrustYou API. I suspect the dot being the issue ...
I also came across the hack on stackoverflow but I decided to use jQuery.getJSON in this particular case instead
"
11660554,"@pkozlowski-opensource - In the Chrome network console, if I click on the url to ACS, I get an ACS error page that tells me that the callback name is invalid.
"
23579204,"I am getting the same issue on the CIneworld API, but I have used it without issue on other API's.
It definitely seems as though some web services can't accept a callback name in the format ""angular.callbacks._1""

It happens whether I use $http.jsonp,  $http.get or .get as part of a service with AngularJS 1.0.7 and also 1.0.8.

I can use jQuery instead or the alternative fix (http://stackoverflow.com/questions/13267285/angular-resource-with-jsonp-not-working), but it would be nice to use the full features of AngularJS.
"
